,year,region,number_of_projects_funded,total_funded_amount_in_mil,text,size
0,2000,Africa,42,670.388631,Region: Africa<br>Total Projects Funded: 42<br>Total Funding in USD Millions: 670.388631<br>Funded Year: 2000,6.48074069840786
1,2000,Americas,2,56.703411,Region: Americas<br>Total Projects Funded: 2<br>Total Funding in USD Millions: 56.703411<br>Funded Year: 2000,1.4142135623730951
2,2000,Asia,40,1457.8252120000002,Region: Asia<br>Total Projects Funded: 40<br>Total Funding in USD Millions: 1457.8252120000002<br>Funded Year: 2000,6.324555320336759
3,2000,Europe,2,1.160241,Region: Europe<br>Total Projects Funded: 2<br>Total Funding in USD Millions: 1.160241<br>Funded Year: 2000,1.4142135623730951
4,2000,Oceania,4,26.025237999999998,Region: Oceania<br>Total Projects Funded: 4<br>Total Funding in USD Millions: 26.025237999999998<br>Funded Year: 2000,2.0
5,2001,Africa,57,1560.2985680000002,Region: Africa<br>Total Projects Funded: 57<br>Total Funding in USD Millions: 1560.2985680000002<br>Funded Year: 2001,7.54983443527075
6,2001,Americas,1,0.0,Region: Americas<br>Total Projects Funded: 1<br>Total Funding in USD Millions: 0.0<br>Funded Year: 2001,1.0
7,2001,Asia,38,3090.952688,Region: Asia<br>Total Projects Funded: 38<br>Total Funding in USD Millions: 3090.952688<br>Funded Year: 2001,6.164414002968976
8,2001,Europe,4,292.76647299999996,Region: Europe<br>Total Projects Funded: 4<br>Total Funding in USD Millions: 292.76647299999996<br>Funded Year: 2001,2.0
9,2001,Oceania,7,11.075887000000002,Region: Oceania<br>Total Projects Funded: 7<br>Total Funding in USD Millions: 11.075887000000002<br>Funded Year: 2001,2.6457513110645907
10,2002,Africa,57,1379.5898630000004,Region: Africa<br>Total Projects Funded: 57<br>Total Funding in USD Millions: 1379.5898630000004<br>Funded Year: 2002,7.54983443527075
11,2002,Americas,2,18.08141,Region: Americas<br>Total Projects Funded: 2<br>Total Funding in USD Millions: 18.08141<br>Funded Year: 2002,1.4142135623730951
12,2002,Asia,33,990.5118689999999,Region: Asia<br>Total Projects Funded: 33<br>Total Funding in USD Millions: 990.5118689999999<br>Funded Year: 2002,5.744562646538029
13,2002,Europe,3,199.366016,Region: Europe<br>Total Projects Funded: 3<br>Total Funding in USD Millions: 199.366016<br>Funded Year: 2002,1.7320508075688772
14,2002,Oceania,9,12.467424,Region: Oceania<br>Total Projects Funded: 9<br>Total Funding in USD Millions: 12.467424<br>Funded Year: 2002,3.0
15,2003,Africa,76,2532.636595,Region: Africa<br>Total Projects Funded: 76<br>Total Funding in USD Millions: 2532.636595<br>Funded Year: 2003,8.717797887081348
16,2003,Americas,10,75.08825200000001,Region: Americas<br>Total Projects Funded: 10<br>Total Funding in USD Millions: 75.08825200000001<br>Funded Year: 2003,3.1622776601683795
17,2003,Asia,57,2884.646561,Region: Asia<br>Total Projects Funded: 57<br>Total Funding in USD Millions: 2884.646561<br>Funded Year: 2003,7.54983443527075
18,2003,Europe,3,14.607837,Region: Europe<br>Total Projects Funded: 3<br>Total Funding in USD Millions: 14.607837<br>Funded Year: 2003,1.7320508075688772
19,2003,Oceania,4,0.068013,Region: Oceania<br>Total Projects Funded: 4<br>Total Funding in USD Millions: 0.068013<br>Funded Year: 2003,2.0
20,2004,Africa,84,1721.5083269999996,Region: Africa<br>Total Projects Funded: 84<br>Total Funding in USD Millions: 1721.5083269999996<br>Funded Year: 2004,9.16515138991168
21,2004,Americas,7,101.49411,Region: Americas<br>Total Projects Funded: 7<br>Total Funding in USD Millions: 101.49411<br>Funded Year: 2004,2.6457513110645907
22,2004,Asia,56,2143.746267,Region: Asia<br>Total Projects Funded: 56<br>Total Funding in USD Millions: 2143.746267<br>Funded Year: 2004,7.483314773547883
23,2004,Europe,4,5.168876,Region: Europe<br>Total Projects Funded: 4<br>Total Funding in USD Millions: 5.168876<br>Funded Year: 2004,2.0
24,2004,Oceania,14,50.505392,Region: Oceania<br>Total Projects Funded: 14<br>Total Funding in USD Millions: 50.505392<br>Funded Year: 2004,3.7416573867739413
25,2005,Africa,125,5034.570512999998,Region: Africa<br>Total Projects Funded: 125<br>Total Funding in USD Millions: 5034.570512999998<br>Funded Year: 2005,11.180339887498949
26,2005,Americas,9,431.715154,Region: Americas<br>Total Projects Funded: 9<br>Total Funding in USD Millions: 431.715154<br>Funded Year: 2005,3.0
27,2005,Asia,70,2434.228373,Region: Asia<br>Total Projects Funded: 70<br>Total Funding in USD Millions: 2434.228373<br>Funded Year: 2005,8.366600265340756
28,2005,Europe,4,27.152053,Region: Europe<br>Total Projects Funded: 4<br>Total Funding in USD Millions: 27.152053<br>Funded Year: 2005,2.0
29,2005,Oceania,10,33.949593,Region: Oceania<br>Total Projects Funded: 10<br>Total Funding in USD Millions: 33.949593<br>Funded Year: 2005,3.1622776601683795
30,2006,Africa,183,8682.767319999999,Region: Africa<br>Total Projects Funded: 183<br>Total Funding in USD Millions: 8682.767319999999<br>Funded Year: 2006,13.527749258468683
31,2006,Americas,10,212.911822,Region: Americas<br>Total Projects Funded: 10<br>Total Funding in USD Millions: 212.911822<br>Funded Year: 2006,3.1622776601683795
32,2006,Asia,67,6397.871131000001,Region: Asia<br>Total Projects Funded: 67<br>Total Funding in USD Millions: 6397.871131000001<br>Funded Year: 2006,8.18535277187245
